element,mass_number,half_life,half_life_s,max_cs,energy_at_max
Sb,125,2.758 y,87035860.8,0.06526,14.58 MeV
Sb,124,60.20 d,5201280.0,18.66,8.56 MeV
Sb,122,2.72 d,235008.00000000003,55.46,25.86 MeV
Sb,120,15.89 min,953.4000000000001,204.9,10.86 MeV
Sb,119,38.2 h,137520.0,332.4,20.19 MeV
Sb,118,3.6 min,216.0,264.7,29.17 MeV
Sb,116,60 s,60.0,202.6,32.66 MeV
Sb,115,32 min,1920.0,150.2,25.51 MeV
Sb,114,3.49 min,209.4,73.18,35.08 MeV
Sb,113,6.67 min,400.2,29.04,47.42 MeV
Sb,111,2.55 min,153.0,1.951,24.03 MeV
Sb,110,1.44 min,86.39999999999999,0.1509,38.38 MeV
Sb,109,1.08 min,64.80000000000001,0.01245,50.49 MeV
Sn,123,129.2 d,11162879.999999998,12.45,39.92 MeV
Sn,121,27.0 h,97200.0,19.98,54.92 MeV
Sn,119,293 d,25315200.0,107.6,38.86 MeV
Sn,113,115 d,9936000.0,61.46,60.0 MeV
Sn,111,35.3 min,2118.0,7.697,60.0 MeV
Sn,110,4.11 h,14796.000000000002,4.65,37.73 MeV
Sn,109,18.0 min,1080.0,1.421,51.32 MeV
Sn,108,10.3 min,618.0,0.2312,60.0 MeV
In,119,2.42 min,145.2,7.526,60.0 MeV
In,118,2.4 min,144.0,7.379,60.0 MeV
In,117,43.2 min,2592.0,12.99,60.0 MeV
In,114,71.9 s,71.9,10.12,60.0 MeV
In,112,14.88 min,892.8000000000001,7.626,60.0 MeV
In,111,2.80 d,241919.99999999997,7.39,60.0 MeV
In,110,4.9 h,17640.0,5.798,53.27 MeV
In,109,4.159 h,14972.4,4.237,60.0 MeV
In,108,58 min,3480.0,0.6967,60.0 MeV
In,107,32.4 min,1944.0,0.2329,39.21 MeV
In,106,6.23 min,373.8,0.04258,52.74 MeV
In,105,5.07 min,304.20000000000005,0.00396,60.0 MeV
Cd,119,2.69 min,161.4,0.001033,60.0 MeV
Cd,118,50.3 min,3018.0,0.01317,60.0 MeV
Cd,117,2.503 h,9010.800000000001,0.01742,60.0 MeV
Cd,115,53.4 h,192240.0,0.1048,60.0 MeV
Cd,109,461.98 d,39915072.0,1.068,60.0 MeV
Cd,107,6.52 h,23472.0,0.1975,43.99 MeV
Cd,105,55.4 min,3324.0,0.08635,60.0 MeV
Ag,113,5.37 h,19332.0,0.001911,60.0 MeV
Ag,112,3.15 h,11340.0,0.004071,60.0 MeV
Ag,111,7.421 d,641174.4,0.0198,60.0 MeV
Ag,108,2.39 min,143.4,0.07931,60.0 MeV
Ag,106,23.96 min,1437.6000000000001,0.03956,60.0 MeV
Ag,105,41.29 d,3567456.0,0.01235,60.0 MeV
Ag,104,69.3 min,4158.0,0.005651,46.18 MeV
Ag,103,65.8 min,3948.0,0.005537,58.11 MeV
Pd,103,17 d,1468800.0,0.001287,60.0 MeV
