Index,Element,MassNumber,MaxCrossSection_mb,EnergyAtMax_MeV
0,Sb,125,0.06526,14.58
1,Sb,124,18.66,8.56
2,Sb,122,55.46,25.86
3,Sb,120,204.9,10.86
4,Sb,119,332.4,20.19
5,Sb,118,264.7,29.17
6,Sb,116,202.6,32.66
7,Sb,115,150.2,25.51
8,Sb,114,73.18,35.08
9,Sb,113,29.04,47.42
10,Sb,111,1.951,24.03
11,Sb,110,0.1509,38.38
12,Sb,109,0.01245,50.49
13,Sn,123,12.45,39.92
14,Sn,121,19.98,54.92
15,Sn,119,107.6,38.86
16,Sn,113,61.46,60.0
17,Sn,111,7.697,60.0
18,Sn,110,4.65,37.73
19,Sn,109,1.421,51.32
20,Sn,108,0.2312,60.0
21,Sn,107,0.0009528,60.0
22,Sn,106,5.755e-08,58.29
23,In,119,7.526,60.0
24,In,118,7.379,60.0
25,In,117,12.99,60.0
26,In,114,10.12,60.0
27,In,112,7.626,60.0
28,In,111,7.39,60.0
29,In,110,5.798,53.27
30,In,109,4.237,60.0
31,In,108,0.6967,60.0
32,In,107,0.2329,39.21
33,In,106,0.04258,52.74
34,In,105,0.00396,60.0
35,Cd,119,0.001033,60.0
36,Cd,118,0.01317,60.0
37,Cd,117,0.01742,60.0
38,Cd,115,0.1048,60.0
39,Cd,109,1.068,60.0
40,Cd,107,0.1975,43.99
41,Cd,105,0.08635,60.0
42,Cd,104,0.0003968,60.0
43,Ag,117,4.929e-06,60.0
44,Ag,116,2.606e-05,50.49
45,Ag,115,0.0003286,60.0
46,Ag,113,0.001911,60.0
47,Ag,112,0.004071,60.0
48,Ag,111,0.0198,60.0
49,Ag,108,0.07931,60.0
50,Ag,106,0.03956,60.0
51,Ag,105,0.01235,60.0
52,Ag,104,0.005651,46.18
53,Ag,103,0.005537,58.11
54,Pd,114,3.257e-08,60.0
55,Pd,113,3.447e-07,60.0
56,Pd,112,9.325e-07,60.0
57,Pd,111,2.887e-05,60.0
58,Pd,109,0.0005398,60.0
59,Pd,103,0.001287,60.0
60,Rh,109,1.618e-07,60.0
61,Rh,107,5.912e-06,60.0
62,Rh,105,1.19e-05,60.0
63,Rh,102,1.247e-06,60.0
64,Rh,101,7.115e-06,54.98
65,Ru,108,1.047e-12,58.11
66,Ru,107,1.106e-10,58.88
67,Ru,106,2.404e-10,53.09
68,Ru,105,1.378e-09,58.29
69,Ru,103,4.842e-09,58.23
